Opening,Opening.1,Title,Production company,Cast and crew,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.,Ref.
J U L Y,24,Animal Crackers,Netflix,"Scott Christian Sava, Tony Bancroft (directors); Scott Christian Sava, Dean Lorey (screenplay); John Krasinski, Emily Blunt, Ian McKellen, Danny DeVito, Sylvester Stallone, Raven-Symoné, Patrick Warburton",,[110]
J U L Y,24,The Kissing Booth 2,Netflix,"Vince Marcello (director/screenplay); Jay Arnold (screenplay); Joey King, Joel Courtney, Jacob Elordi, Maisie Richardson-Sellers, Taylor Perez, Molly Ringwald",,[111]
J U L Y,24,The Rental,IFC Films,"Dave Franco (director/screenplay); Joe Swanberg (screenplay); Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, Toby Huss",,[112]
J U L Y,28,Deep Blue Sea 3,Warner Bros.,"John Pogue (director); Dirk Blackman (screenplay); Tania Raymonde, Nathaniel Buzolic, Emerson Brooks, Bren Foster",,[113]
J U L Y,31,Black Is King,Disney+ / Walt Disney Studios Motion Pictures,"Beyoncé, Emmanuel Adjei, Blitz Bazawule, Ibra Ake, Jenn Nkiru, Jake Nava, Pierre Debusschere, Dikayl Rimmasch (directors); Beyoncé, Yrsa Daley-Ward, Clover Hope, Andrew Morro (screenplay); Beyoncé",,[114]
J U L Y,31,The Secret: Dare To Dream,Roadside Attractions / Gravitas Ventures,"Andy Tennant (director/screenplay); Bekah Brunstetter, Rick Parks (screenplay); Katie Holmes, Josh Lucas, Jerry O'Connell, Celia Weston",,
J U L Y,31,Summerland,IFC Films,"Jessica Swale (director/screenplay); Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay",,[115]
J U L Y,31,She Dies Tomorrow,Neon,"Amy Seimetz (director/screenplay); Kate Lyn Sheil, Jane Adams, Kentucker Audley, Katie Aselton, Adam Wingard",,[116]
A U G U S T,6,An American Pickle,HBO Max / Warner Max / Point Grey Pictures,"Brandon Trost (director); Simon Rich (screenplay); Seth Rogen, Sarah Snook",,[117]
A U G U S T,7,The Tax Collector,RLJE Films,"David Ayer (director/screenplay); Bobby Soto, Shia LaBeouf, Cinthya Carmona, George Lopez",,[118]
A U G U S T,7,Waiting for the Barbarians,Samuel Goldwyn Films,"Ciro Guerra (director); J. M. Coetzee (screenplay); Mark Rylance, Johnny Depp, Robert Pattinson, Gana Bayarsaikhan, Greta Scacchi",,[119]
A U G U S T,14,Project Power,Netflix,"Henry Joost, Ariel Schulman (director); Mattson Tomlin (screenplay); Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Machine Gun Kelly, Allen Maldonado, Amy Landecker, Courtney B. Vance, C.J. LeBlanc",,[120]
A U G U S T,14,The SpongeBob Movie: Sponge on the Run (Canadian theatrical release),Paramount Animation / Nickelodeon Movies / MRC,"Tim Hill (director/screenplay); Tom Kenny, Awkwafina, Matt Berry, Snoop Dogg, Bill Fagerbakke, Clancy Brown, Tiffany Haddish, Carolyn Lawrence, Mr. Lawrence, Keanu Reeves, Danny Trejo, Reggie Watts",,[121]
A U G U S T,14,Magic Camp,Disney+ / Walt Disney Pictures,"Mark Waters (director); Micah Fitzerman-Blue, Noah Harpster, Matt Spicer, Max Winkler, Dan Gregor, Doug Mand (screenplay); Adam DeVine, Gillian Jacobs, Jeffrey Tambor",,[122]
A U G U S T,14,Spree,RLJE Films / DreamCrew,"Eugene Kotlyarenko (director); Gene McHugh (screenplay); Joe Keery, Sasheer Zamata, Mischa Barton, John DeLuca",,[123]
A U G U S T,14,Boys State,Apple TV+ / A24 / Concordia Studio,"Amanda McBaine, Jesse Moss (directors)",,
A U G U S T,21,The One and Only Ivan,Disney+ / Walt Disney Pictures,"Thea Sharrock (director); Mike White (screenplay); Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez, Ariana Greenblatt, Chaka Khan, Ron Funches, Phillipa Soo, Mike White, Bryan Cranston",,[124]
A U G U S T,21,Unhinged,Solstice Studios / Ingenious Media,"Derrick Borte (director); Carl Ellsworth (screenplay); Russell Crowe, Caren Pistorius, Gabriel Bateman, Jimmi Simpson, Austin P. McKenzie",,[125]
A U G U S T,21,Tesla,IFC Films / Campbell Grobman Films,"Michael Almereyda (director/screenplay); Ethan Hawke, Eve Hewson, Ebon Moss-Bachrach, Jim Gaffigan, Kyle MacLachlan",,[126]
A U G U S T,21,Cut Throat City,Well Go USA Entertainment,"RZA (director); Paul Cuschieri (screenplay); Shameik Moore, T.I., Demetrius Shipp Jr., Kat Graham, Wesley Snipes, Terrence Howard, Eiza González, Ethan Hawke",,[127]
A U G U S T,21,Words on Bathroom Walls,LD Entertainment,"Thor Freudenthal (director); Nick Naveda (screenplay); Charlie Plummer, Andy García, Taylor Russell, AnnaSophia Robb, Beth Grant, Molly Parker, Walton Goggins",,[128]
A U G U S T,21,Hard Kill,Vertical Entertainment,"Matt Eskandari (director); Chris LaMont, Joe Russo (screenplay); Jesse Metcalfe, Bruce Willis",,[129]
A U G U S T,21,Chemical Hearts,Amazon Studios,"Richard Tanne (director/screenplay); Austin Abrams, Lili Reinhart",,[130]
A U G U S T,26,Tenet,Warner Bros. Pictures / Syncopy Inc.,"Christopher Nolan (director/screenplay); John David Washington, Robert Pattinson, Elizabeth Debicki, Dimple Kapadia, Martin Donovan, Fiona Dourif, Yuri Kolokolnikov, Himesh Patel, Clémence Poésy, Aaron Taylor-Johnson, Michael Caine, Kenneth Branagh",,[131]
A U G U S T,28,Bill & Ted Face the Music,Orion Pictures / Endeavor Content,"Dean Parisot (director); Chris Matheson, Ed Solomon (screenplay); Keanu Reeves, Alex Winter, Kristen Schaal, Samara Weaving, Brigette Lundy-Paine, Anthony Carrigan, Erinn Hayes, Jayma Mays, Holland Taylor, Kid Cudi, William Sadler, Jillian Bell",,[132]
A U G U S T,28,The New Mutants,20th Century Studios / Marvel Entertainment,"Josh Boone (director/screenplay); Knate Lee (screenplay); Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Alice Braga, Blu Hunt, Henry Zaga, Adam Beach",,[133]
A U G U S T,28,The Personal History of David Copperfield,Searchlight Pictures / FilmNation Entertainment / Film4,"Armando Iannucci (director/screenplay); Simon Blackwell (screenplay); Dev Patel, Aneurin Barnard, Peter Capaldi, Morfydd Clark, Daisy May Cooper, Rosalind Eleazar, Hugh Laurie, Tilda Swinton, Ben Whishaw, Paul Whitehouse",,[134]
A U G U S T,28,I'm Thinking of Ending Things,Netflix / Likely Story / Projective Testing Services,"Charlie Kaufman (director/screenplay); Jesse Plemons, Jessie Buckley, Toni Collette, David Thewlis",,[135]
A U G U S T,28,Phineas and Ferb the Movie: Candace Against the Universe,Disney+ / Disney Television Animation,"Bob Bowen (director); Dan Povenmire, Jeff ""Swampy"" Marsh, Jon Colton Barry, Jim Bernstein, Joshua Pruett (screenplay); Vincent Martella, Ashley Tisdale, David Errigo Jr., Dee Bradley Baker, Dan Povenmire, Caroline Rhea, Jeff ""Swampy"" Marsh, Alyson Stoner",,[136]
A U G U S T,28,All Together Now,Netflix,"Brett Haley (director); Matthew Quick, Matt Basch (screenplay); Auliʻi Cravalho, Rhenzy Feliz, Judy Reyes, Justina Machado, Taylor Richardson, C.S. Lee, Fred Armisen, Carol Burnett",,[137]
A U G U S T,28,Rogue,Lionsgate,"M. J. Bassett (director/screenplay); Isabel Bassett (screenplay); Megan Fox, Philip Winchester",,[138]
A U G U S T,28,Centigrade,IFC Midnight,"Brendan Walsh (director/screenplay); Genesis Rodriguez, Vincent Piazza, Louis Cancelmi",,[139]
A U G U S T,28,The Binge,Hulu,"Jeremy Garelick (director); Jordan VanDina (screenplay); Skyler Gisondo, Eduardo Franco, Dexter Darden, Vince Vaughn",,[140]
S E P T E M B E R,3,"Love, Guaranteed",Netflix,"Mark Steven Johnson (director); Elizabeth Hackett, Hilary Galanoy (screenplay); Rachael Leigh Cook, Damon Wayans Jr.",,[141]
S E P T E M B E R,4,Mulan,Disney+ / Walt Disney Pictures,"Niki Caro (director); Rick Jaffa, Amanda Silver, Laura Hynek, Elizabeth Martin (screenplay); Liu Yifei, Donnie Yen, Tzi Ma, Jason Scott Lee, Yoson An, Ron Yuan, Gong Li, Jet Li",,[142]
S E P T E M B E R,4,Critical Thinking,Vertical Entertainment,"John Leguizamo (director); Dito Montiel (screenplay); John Leguizamo, Jorge Lendeborg Jr., Angel Bismark Curiel, Will Hochman, Corwin Tuggles, Jeffry Batista, Ramses Jimenez, Rachel Bay Jones, Michael K. Williams",,[143]
